Asset_ID,Name Sort Not sorted  Name,Version Sort Not sorted  Version,Software Manufacturer Sort Not sorted  Software Manufacturer,Type Sort Not sorted  Type,Installation Date Sort Not sorted  Installation Date,Installation Directory Sort Not sorted  Installation Directory,File Count Sort Not sorted  File Count,0,1,2
15566,HP Product Improvement Study,52.03,HP Inc.,Application,,C:\Program Files\HP\HP LaserJet MFP M232-M237\Bin,1.0,,,
15566,HP SFTP Plugin,56.0,HP Inc.,Add/Remove Programs,"July 02, 2025 12:00:00 AM",,,,,
15566,HP SharePoint Plugin,56.0,HP,Add/Remove Programs,"July 02, 2025 12:00:00 AM",,,,,
15566,HPCustParticUI,52.03,HP Inc.,Application,,C:\Program Files\HP\HP LaserJet MFP M232-M237\Bin,1.0,,,
15566,hpgid32v4PE,32.01,HP,Application,,C:\Program Files\HP\HP LaserJet MFP M232-M237\DriverStore\YetiV4\i386,2.0,,,
15566,HPNetworkCommunicatorCom,52.03,HP Inc.,Application,,C:\Program Files\HP\HP LaserJet MFP M232-M237\Bin,1.0,,,
15566,HPPSDrDownloader,2.0,,Application,,C:\Program Files\HP\HP LaserJet MFP M232-M237\Bin,1.0,,,
15566,HPScan,52.01,HP Inc.,Application,,C:\Program Files (x86)\HP\HP LaserJet MFP M232-M237\bin,1.0,,,
15566,hpUrlLauncher,52.03,HP Inc.,Application,,C:\Program Files\HP\HP LaserJet MFP M232-M237\Bin\utils,1.0,,,
15566,hpUtility,52.03,HP Inc.,Application,,C:\Program Files\HP\HP LaserJet MFP M232-M237\Bin\utils,1.0,,,
15566,I.R.I.S OCR,15.4,HP Inc.,Add/Remove Programs,"July 02, 2025 12:00:00 AM",,,,,
15566,IEToEdge BHO,144.0,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\144.0.3719.115\BHO,3.0,,,
15566,Imaging Devices Control Panel,10.0,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Windows Photo Viewer,2.0,,,
15566,InstanceFinderDlg,52.03,HP Inc.,Application,,C:\Program Files\HP\HP LaserJet MFP M232-M237\Bin,1.0,,,
15566,iVMS-4200,3.13,Hangzhou Hikvision Digital Technology Co. Ltd.,Add/Remove Programs,,C:\Program Files (x86),,,,
15566,iVMS-4200 3.13.1.5,3.13,Hangzhou Hikvision Digital Technology Co. Ltd.,Application,,C:\Users\093950\Downloads,1.0,,,
15566,LibreOffice,25.2,The Document Foundation,Application,,C:\Program Files\LibreOffice\program,2.0,,,
15566,LibreOffice 24.8.2.1,24.8,The Document Foundation,Add/Remove Programs,"February 10, 2025 12:00:00 AM",C:\Program Files\LibreOffice\,,,,
